method,attack,epsilon,model,model_role,sample_count,generated_count,psnr,ssim,ciede2000,asr_paper_denominator,asr_clean_correct_only,strict_asr_sample_count,exact_container_recovery_rate,paper_rgb_recovery_rate,sup_png_verified_count,sup_png_recovery_rate,maximum_channel_error,runtime_seconds
OURS,PGD,4/255,vgg19,black_box,1000,856,39.87430554493536,0.9736492272020959,1.5598842382551061,0.5642523364485982,0.33273056057866185,553,1.0,,0,,0,1519.7389422999695
OURS,MI-FGSM,4/255,inception_v3,white_box,1,1,35.434759111213495,0.9588465239398279,2.2952853993320463,1.0,1.0,1,1.0,,0,,0,2003.0281534999958
OURS,MI-FGSM,4/255,googlenet,white_box,1,1,35.434759111213495,0.9588465239398279,2.2952853993320463,0.0,0.0,1,1.0,,0,,0,2003.0281534999958
OURS,MI-FGSM,4/255,densenet161,white_box,1,1,35.434759111213495,0.9588465239398279,2.2952853993320463,1.0,1.0,1,1.0,,0,,0,2003.0281534999958
OURS,MI-FGSM,4/255,resnet50,black_box,1,1,35.434759111213495,0.9588465239398279,2.2952853993320463,1.0,1.0,1,1.0,,0,,0,2003.0281534999958
OURS,MI-FGSM,4/255,vgg19,black_box,1,1,35.434759111213495,0.9588465239398279,2.2952853993320463,0.0,0.0,1,1.0,,0,,0,2003.0281534999958
OURS,MI-FGSM,4/255,inception_v3,white_box,10,10,39.46720037509549,0.9665495370739403,1.545132871755071,1.0,1.0,10,1.0,,0,,0,2003.0281534999958
OURS,MI-FGSM,4/255,googlenet,white_box,10,10,39.46720037509549,0.9665495370739403,1.545132871755071,0.8,0.8,10,1.0,,0,,0,2003.0281534999958
OURS,MI-FGSM,4/255,densenet161,white_box,10,10,39.46720037509549,0.9665495370739403,1.545132871755071,1.0,1.0,10,1.0,,0,,0,2003.0281534999958
OURS,MI-FGSM,4/255,resnet50,black_box,10,10,39.46720037509549,0.9665495370739403,1.545132871755071,0.6,0.5,8,1.0,,0,,0,2003.0281534999958
OURS,MI-FGSM,4/255,vgg19,black_box,10,10,39.46720037509549,0.9665495370739403,1.545132871755071,0.3,0.125,8,1.0,,0,,0,2003.0281534999958
OURS,MI-FGSM,4/255,inception_v3,white_box,1000,976,39.169990863553906,0.9685882369685065,1.524250279841448,1.0,1.0,976,1.0,,0,,0,2003.0281534999958
OURS,MI-FGSM,4/255,googlenet,white_box,1000,976,39.169990863553906,0.9685882369685065,1.524250279841448,0.8811475409836066,0.8811475409836066,976,1.0,,0,,0,2003.0281534999958
OURS,MI-FGSM,4/255,densenet161,white_box,1000,976,39.169990863553906,0.9685882369685065,1.524250279841448,0.8831967213114754,0.8831967213114754,976,1.0,,0,,0,2003.0281534999958
OURS,MI-FGSM,4/255,resnet50,black_box,1000,976,39.169990863553906,0.9685882369685065,1.524250279841448,0.5461065573770492,0.4335483870967742,775,1.0,,0,,0,2003.0281534999958
OURS,MI-FGSM,4/255,vgg19,black_box,1000,976,39.169990863553906,0.9685882369685065,1.524250279841448,0.5778688524590164,0.36801242236024845,644,1.0,,0,,0,2003.0281534999958
OURS,NI-FGSM,4/255,inception_v3,white_box,1,1,33.205537779299476,0.9407801729556028,2.4681594755858227,1.0,1.0,1,1.0,,0,,0,2631.505176400009
OURS,NI-FGSM,4/255,googlenet,white_box,1,1,33.205537779299476,0.9407801729556028,2.4681594755858227,1.0,1.0,1,1.0,,0,,0,2631.505176400009
OURS,NI-FGSM,4/255,densenet161,white_box,1,1,33.205537779299476,0.9407801729556028,2.4681594755858227,1.0,1.0,1,1.0,,0,,0,2631.505176400009
OURS,NI-FGSM,4/255,resnet50,black_box,1,1,33.205537779299476,0.9407801729556028,2.4681594755858227,1.0,1.0,1,1.0,,0,,0,2631.505176400009
OURS,NI-FGSM,4/255,vgg19,black_box,1,1,33.205537779299476,0.9407801729556028,2.4681594755858227,1.0,1.0,1,1.0,,0,,0,2631.505176400009
OURS,NI-FGSM,4/255,inception_v3,white_box,10,10,38.464428426444854,0.9597368856584414,1.5883065078041125,1.0,1.0,10,1.0,,0,,0,2631.505176400009
OURS,NI-FGSM,4/255,googlenet,white_box,10,10,38.464428426444854,0.9597368856584414,1.5883065078041125,0.6,0.6,10,1.0,,0,,0,2631.505176400009
OURS,NI-FGSM,4/255,densenet161,white_box,10,10,38.464428426444854,0.9597368856584414,1.5883065078041125,0.9,0.9,10,1.0,,0,,0,2631.505176400009
OURS,NI-FGSM,4/255,resnet50,black_box,10,10,38.464428426444854,0.9597368856584414,1.5883065078041125,0.5,0.375,8,1.0,,0,,0,2631.505176400009
OURS,NI-FGSM,4/255,vgg19,black_box,10,10,38.464428426444854,0.9597368856584414,1.5883065078041125,0.4,0.25,8,1.0,,0,,0,2631.505176400009
OURS,NI-FGSM,4/255,inception_v3,white_box,1000,924,38.31334568705911,0.9636927778613533,1.5811906598025869,1.0,1.0,924,1.0,,0,,0,2631.505176400009
OURS,NI-FGSM,4/255,googlenet,white_box,1000,924,38.31334568705911,0.9636927778613533,1.5811906598025869,0.7283549783549783,0.7283549783549783,924,1.0,,0,,0,2631.505176400009
OURS,NI-FGSM,4/255,densenet161,white_box,1000,924,38.31334568705911,0.9636927778613533,1.5811906598025869,0.7727272727272727,0.7727272727272727,924,1.0,,0,,0,2631.505176400009
OURS,NI-FGSM,4/255,resnet50,black_box,1000,924,38.31334568705911,0.9636927778613533,1.5811906598025869,0.5822510822510822,0.4746922024623803,731,1.0,,0,,0,2631.505176400009
OURS,NI-FGSM,4/255,vgg19,black_box,1000,924,38.31334568705911,0.9636927778613533,1.5811906598025869,0.6158008658008658,0.41333333333333333,600,1.0,,0,,0,2631.505176400009
